Function,Total_Syscalls,Total_Syscalls_Success,Total_Syscalls_Failed,Min,Max,Average,Stdev,Failure,Context,Increase
30e47b,11,0,11,0,0,0,0,0,1,-1
269f88,11,0,11,0,0,0,0,0,1,-1
19cf7,11,0,11,0.001,0.001,0.001,1.99E-10,0,1,-1
269cb,11,0,11,0.003,0.004,0.003363636,0.000504525,0,1,-1
26b38,44,0,44,0.001,0.004,0.002204545,0.000631703,0,1,-1
26b88,33,0,33,0.001,0.005,0.00130303,0.000769937,0,1,-1
23a83,44,0,44,0.001,0.004,0.002227273,0.000565012,0,1,-1
24230,11,0,11,0.002,0.004,0.002909091,0.00053936,0,1,-1
11a494,11,0,11,0.001,0.002,0.001363636,0.000504525,0,1,-1
26d1b,11,0,11,0.005,0.007,0.005272727,0.00064667,0,1,-1
46c87,11,0,11,0.001,0.002,0.001090909,0.000301511,0,1,-1
119bcc,22,0,22,0.002,0.005,0.003272727,0.000767297,0,1,-1
7af0,11,0,11,0.003,0.008,0.003636364,0.001501514,0,1,-1
5c07,11,0,11,0.003,0.004,0.003727273,0.000467099,0,1,-1
a0d7,11,0,11,0.003,0.004,0.003727273,0.000467099,0,1,-1
6c2f,11,0,11,0.003,0.004,0.003727273,0.000467099,0,1,-1
31d153,9,0,9,0.003,0.007,0.004,0.001224745,0,1,-1
11b962,1,0,1,0,0,0,0,0,1,-1
42520,11,0,11,0.002,0.003,0.002272727,0.000467099,0,1,-1
42529,11,0,11,0,0,0,0,0,1,-1
108d7a,11,0,11,0.002,0.004,0.002818182,0.000603023,0,1,-1
30c544,11,0,11,0.002,0.004,0.002818182,0.000603023,0,1,-1
c839,2,0,2,0.002,0.002,0.002,1.61E-10,0,1,-1
c729,2,0,2,0.002,0.003,0.0025,0.000707107,0,1,-1
11d16b,6,0,6,0.022,0.047,0.0345,0.00977241,0,1,-1
32863,1,0,1,0.001,0.001,0,0,0,1,-1
11625b,1,0,1,0.012,0.012,0,0,0,1,-1
126531,1,0,1,0,0,0,0,0,1,-1
11b74d,1,0,1,0,0,0,0,0,1,-1
913b7,3,0,3,0.001,0.002,0.001666666,0.00057735,0,1,-1
93bde,1,0,1,0.002,0.002,0,0,0,1,-1
